Reservoir,Site,DateTime,Depth_m,TFe_mgL,TMn_mgL,SFe_mgL,SMn_mgL,Flag_DateTime,Flag_TFe,Flag_TMn,Flag_SFe,Flag_SMn
FCR,50,2014-07-21 12:00:00,5,1.226,0.8331,1.226,0.8331,1,0,0,0,0
FCR,50,2014-07-21 12:00:00,6.2,1.98,0.8726,1.98,0.80029,1,0,0,0,0
FCR,50,2014-07-21 12:00:00,8,2.797,1.268,2.797,1.268,1,0,0,0,0
FCR,50,2014-07-21 12:00:00,9,3.845,1.577,3.561,1.53176,1,0,0,0,0
BVR,50,2014-07-23 12:00:00,0.1,0.4478,0.0267,0.4478,0.0267,1,0,0,0,0
BVR,50,2014-07-23 12:00:00,4,0.3991,0.1513,0.3991,0.1513,1,0,0,0,0
BVR,50,2014-07-23 12:00:00,8,0.4824,1.192,0.4824,1.192,1,0,0,0,0
FCR,50,2014-07-28 12:00:00,0.1,0.3155,0.0111,0.3155,0.00696,1,0,0,0,0
FCR,50,2014-07-28 12:00:00,0.8,0.2814,0.01034,0.2664,0.00383,1,0,0,0,0
FCR,50,2014-07-28 12:00:00,1.6,0.2996,0.01061,0.2996,0.00424,1,0,0,0,0
FCR,50,2014-07-28 12:00:00,2.8,0.3055,0.0098,0.2918,0.00319,1,0,0,0,0
FCR,50,2014-07-28 12:00:00,3.8,0.3171,0.02853,0.3171,0.01728,1,0,0,0,0
FCR,50,2014-07-28 12:00:00,5,1.838,1.228,1.761,1.12046,1,0,0,0,0
FCR,50,2014-07-28 12:00:00,6.2,4.493,1.901,4.367,1.73074,1,0,0,0,0
FCR,50,2014-07-28 12:00:00,8,4.546,1.859,4.546,1.859,1,0,0,0,0
FCR,50,2014-07-28 12:00:00,9,5.074,2.06,4.739,1.87172,1,0,0,0,0
FCR,50,2014-08-04 12:00:00,0.1,0.3518,0.0119,0.3518,0.00775,1,0,0,0,0
FCR,50,2014-08-04 12:00:00,0.8,0.316,0.01318,0.3156,0.00492,1,0,0,0,0
FCR,50,2014-08-04 12:00:00,1.6,0.3184,0.01152,0.3184,0.00408,1,0,0,0,0
FCR,50,2014-08-04 12:00:00,2.8,0.3849,0.01493,0.3849,0.00516,1,0,0,0,0
FCR,50,2014-08-04 12:00:00,3.8,0.4419,0.151,0.4408,0.08565,1,0,0,0,0
FCR,50,2014-08-04 12:00:00,5,2.513,1.38,2.513,1.27367,1,0,0,0,0
FCR,50,2014-08-04 12:00:00,6.2,3.558,1.607,3.558,1.5073,1,0,0,0,0
FCR,50,2014-08-04 12:00:00,8,5.621,2.158,5.606,2.04663,1,0,0,0,0
FCR,50,2014-08-04 12:00:00,9,9.468,2.786,9.468,2.7391,1,0,0,0,0
FCR,50,2014-08-11 12:00:00,0.1,0.306,0.01154,0.3017,0.00748,1,0,0,0,0
FCR,50,2014-08-11 12:00:00,0.8,0.3082,0.013,0.3079,0.00492,1,0,0,0,0
FCR,50,2014-08-11 12:00:00,1.6,0.3027,0.01234,0.3027,0.00442,1,0,0,0,0
FCR,50,2014-08-11 12:00:00,2.8,0.4042,0.01568,0.4029,0.00549,1,0,0,0,0
FCR,50,2014-08-11 12:00:00,3.8,0.3872,0.07768,0.3872,0.04418,1,0,0,0,0
FCR,50,2014-08-11 12:00:00,5,2.248,1.779,2.248,1.63823,1,0,0,0,0
FCR,50,2014-08-11 12:00:00,6.2,2.632,1.198,2.632,1.12466,1,0,0,0,0
